GiftId,TripId
66128,1
90431,1
60369,1
37147,1
69572,1
21808,1
14647,1
23554,1
49287,1
81895,1
98527,1
80194,1
10033,1
92459,1
28139,1
7867,1
1264,1
94010,1
22174,1
46996,1
7856,1
3374,1
80013,1
22896,1
42128,1
96086,1
94856,1
41996,1
27596,1
26242,1
35787,1
29970,1
55854,1
89995,1
9640,1
88925,1
87760,1
35388,1
66008,1
89936,1
37128,1
80720,1
5556,1
33335,1
46221,1
2103,1
23658,1
15625,1
49408,1
20675,1
66386,1
92069,1
31818,1
99076,1
24044,1
90017,1
32870,1
57629,1
56140,1
18197,1
76329,1
961,1
7168,1
9842,1
22642,1
3141,1
64064,1
18432,1
89734,1
81584,1
49273,1
69926,1
3138,1
34034,1
35675,1
46746,2
93025,2
87423,2
73630,2
83903,2
14726,2
86437,2
72881,2
82176,2
48735,2
86717,2
99800,2
63378,2
47216,2
32770,2
25574,2
5027,2
97066,2
32957,2
70435,2
16981,2
53441,2
86962,2
95182,2
92557,2
65260,2
58424,2
93906,2
30446,2
49471,2
7134,2
12202,2
19960,2
59616,2
69846,2
67444,2
94731,2
95595,2
27764,2
6746,2
89030,2
36759,2
34161,2
50476,2
5891,2
51134,2
25197,2
83875,2
79490,2
23904,2
20030,2
27024,2
60161,2
59903,2
1148,2
51594,2
71095,2
80107,2
74991,2
31341,2
82724,2
77372,2
91870,2
68230,2
8605,2
49676,2
87545,2
39597,2
20120,2
46687,2
73601,2
96233,2
33000,2
99183,2
5887,2
24585,2
48545,2
32850,3
65177,3
54171,3
31594,3
5712,3
37142,3
33551,3
23204,3
14068,3
41649,3
2407,3
97516,3
54697,3
12455,3
18462,3
86684,3
98298,3
61570,3
78833,3
13686,3
51935,3
8257,3
13988,3
19720,3
84023,3
8861,3
2410,3
63510,3
65386,3
55310,3
78740,3
83884,3
34927,3
34833,3
90979,3
11483,3
54108,3
49657,3
25731,3
64825,3
89893,3
94730,3
80241,3
22512,3
80398,3
23964,3
75550,3
76679,3
66347,3
28321,3
22392,3
56035,3
31980,3
20080,3
78971,3
88958,3
54547,3
83808,3
95172,3
14206,3
37539,3
66961,3
24151,3
68018,3
95128,3
55328,3
53191,3
45099,3
79487,3
68448,3
89319,3
64129,3
39919,3
19059,3
12572,3
61379,3
169,3
15391,3
69169,4
4151,4
57448,4
43025,4
77527,4
10217,4
23531,4
71376,4
36655,4
70371,4
20092,4
61256,4
51719,4
9406,4
6423,4
84407,4
24671,4
76960,4
61608,4
35536,4
62834,4
69504,4
30906,4
87946,4
86936,4
97441,4
55661,4
14357,4
43279,4
52381,4
9127,4
6008,4
34414,4
15371,4
99455,4
69929,4
17029,4
30996,4
73262,4
52934,4
3975,4
34027,4
71845,4
47390,4
70195,4
53326,4
94537,4
43002,4
48967,4
8426,4
32779,4
18282,4
3797,4
91669,4
43358,4
90692,4
13305,4
91908,4
24530,4
24809,4
70434,4
81409,4
63221,4
42457,4
89309,4
2027,4
91049,4
33921,4
29523,4
6739,4
42986,4
38662,4
86180,4
97648,4
83036,4
35635,4
53748,5
8471,5
39168,5
3319,5
62435,5
15968,5
49231,5
95444,5
41178,5
67071,5
50185,5
89667,5
87928,5
44714,5
37246,5
74945,5
1277,5
49424,5
68421,5
46710,5
82858,5
50797,5
54582,5
35905,5
15637,5
4800,5
54679,5
56740,5
90956,5
36188,5
99700,5
65901,5
48723,5
13819,5
21806,5
54609,5
83871,5
34138,5
87276,5
4617,5
95684,5
91496,5
72982,5
60048,5
42693,5
53966,5
31879,5
88004,5
16225,5
44936,5
72912,5
47868,5
47811,5
99678,5
90379,5
51898,5
20451,5
75410,5
41191,5
98166,5
84624,5
80818,5
53974,5
42305,5
97973,5
26115,5
63118,5
44142,5
9492,5
66117,5
79119,5
65463,6
38392,6
58170,6
94100,6
74798,6
33526,6
81853,6
31957,6
9760,6
75869,6
74561,6
9755,6
85524,6
38596,6
17108,6
92875,6
83401,6
6230,6
36938,6
32822,6
88138,6
12745,6
1340,6
90804,6
83521,6
60865,6
85539,6
82756,6
45982,6
7099,6
15956,6
38199,6
29851,6
26973,6
14398,6
98743,6
41347,6
33412,6
76479,6
94426,6
22232,6
82841,6
40356,6
64700,6
48915,6
20351,6
30303,6
97646,6
48218,6
86802,6
81257,6
40712,6
15083,6
93905,6
12797,6
25002,6
45082,6
83059,6
24309,7
72537,7
63277,7
15933,7
15129,7
79777,7
84813,7
22628,7
79234,7
95477,7
10491,7
20121,7
45224,7
4410,7
89119,7
51533,7
73452,7
4992,7
62243,7
64551,7
4112,7
49867,7
18866,7
18906,7
45906,7
99370,7
1785,7
40403,7
75198,7
67005,7
30434,7
79827,7
95771,7
17970,7
62805,7
46584,7
16228,7
72399,7
23537,7
46619,7
6103,7
991,7
43544,7
31650,7
31826,7
98521,7
80943,7
69173,7
53942,7
23230,7
95137,7
51798,7
66931,7
79339,7
46837,7
70187,7
26995,7
31533,7
91414,7
24159,7
62430,7
37016,7
59520,7
73202,7
80589,7
24064,7
14430,7
76592,7
64176,7
31134,7
71799,7
99105,7
1562,8
40138,8
44797,8
74614,8
62703,8
57835,8
42464,8
21018,8
75815,8
40541,8
38035,8
28845,8
38926,8
17977,8
64207,8
41475,8
11763,8
74970,8
48351,8
600,8
84606,8
25076,8
51828,8
81960,8
43246,8
88948,8
24574,8
11177,8
4325,8
54722,8
84485,8
55520,8
45851,8
25625,8
45499,8
27015,8
53556,8
12222,8
44906,8
41747,8
63251,8
58087,8
70357,8
69796,8
13736,8
48879,8
79406,8
44960,8
13636,8
50822,8
11937,8
5110,8
78291,8
79546,8
271,8
56037,8
42614,8
13240,8
13841,8
6334,8
15777,8
81923,8
93250,8
95548,8
47185,8
2742,8
14717,8
58200,8
24077,8
63674,8
37924,8
30744,8
9147,8
52593,9
61954,9
83921,9
91468,9
11694,9
80089,9
28289,9
925,9
35230,9
68261,9
63151,9
49423,9
47790,9
66624,9
76950,9
59205,9
96117,9
44210,9
43334,9
18379,9
96320,9
18813,9
92515,9
9138,9
93394,9
6349,9
44062,9
35320,9
74604,9
90210,9
38284,9
39678,9
28238,9
91347,9
72916,9
81149,9
87478,9
87544,9
36981,9
35587,9
52807,9
95756,9
93994,9
40658,9
98596,9
88458,9
15542,9
53754,9
55362,9
12022,9
86808,9
89629,9
7359,9
42242,9
9834,9
88328,9
46271,9
59834,9
77117,9
92379,9
7968,9
4763,9
13989,9
3937,9
91044,9
45592,9
42018,9
52068,9
14029,9
3754,9
75017,9
10946,9
35622,9
7564,9
91281,9
41024,9
87082,9
96568,9
47210,10
21630,10
72479,10
48669,10
80940,10
98019,10
45037,10
61446,10
12284,10
50544,10
75292,10
84225,10
33270,10
5509,10
12673,10
5227,10
70427,10
62723,10
38452,10
3905,10
57331,10
56028,10
13808,10
29999,10
12241,10
1513,10
54091,10
28926,10
11513,10
84439,10
10427,10
4213,10
27690,10
25650,10
63266,10
95287,10
88033,10
26201,10
47619,10
6212,10
47209,10
23645,10
47290,10
36739,10
14179,10
29614,10
56576,10
99169,10
42162,10
33540,10
41689,10
85702,10
94808,10
22183,10
44954,10
15359,10
39337,10
23521,10
78012,10
57077,10
85689,10
62622,10
66506,10
40365,10
43160,10
39627,10
33296,10
5588,11
1433,11
9761,11
7219,11
38773,11
86367,11
62502,11
23435,11
61541,11
74136,11
69642,11
77004,11
74365,11
10487,11
62875,11
9504,11
32386,11
38433,11
39380,11
51147,11
75100,11
52668,11
29304,11
59904,11
46573,11
99869,11
72840,11
56974,11
28174,11
97424,11
76333,11
99384,11
28,11
48437,11
13931,11
45225,11
6824,11
92970,11
11238,11
71564,11
86193,11
52906,11
84282,11
99866,11
76466,11
37200,11
47479,11
54579,11
9978,11
49724,11
48631,11
69321,11
27301,11
53342,11
31593,11
17224,11
20733,11
30775,11
56050,11
53535,11
35939,11
80931,11
48557,11
20740,11
15597,11
83064,11
51425,11
72098,12
33492,12
76926,12
20154,12
91756,12
33787,12
23929,12
6152,12
81940,12
42394,12
40686,12
37400,12
80867,12
59394,12
36931,12
46296,12
1391,12
77195,12
12252,12
9954,12
64596,12
28261,12
84588,12
46231,12
5600,12
80351,12
18602,12
14601,12
40410,12
63695,12
75285,12
3946,12
57602,12
55330,12
39162,12
73008,12
59284,12
395,12
40835,12
6882,12
65045,12
57987,12
30439,12
84765,12
61663,12
72309,12
75661,12
42779,12
38747,12
30988,12
26142,12
74241,12
57637,12
31535,12
55189,12
26589,12
62247,12
76907,12
73909,12
71914,12
44247,12
18407,12
49405,12
7351,12
6635,12
70467,12
29518,12
76598,12
70561,12
38317,12
58804,12
50361,12
16124,12
3174,12
91292,12
17791,12
12909,12
69422,12
73420,12
70730,13
28893,13
76208,13
8457,13
28192,13
3883,13
60118,13
85985,13
71367,13
14120,13
16874,13
21071,13
50806,13
41363,13
78585,13
39941,13
14621,13
83374,13
99307,13
91636,13
60415,13
94032,13
85614,13
4247,13
56713,13
75523,13
45611,13
72470,13
20400,13
36868,13
1526,13
83170,13
98551,13
9938,13
12596,13
88339,13
23271,13
76902,13
89543,13
51693,13
79380,13
83826,13
4848,13
60819,13
90091,13
59847,13
26439,13
33060,13
94054,13
80441,13
34012,13
15343,13
32043,13
14918,13
60234,14
71761,14
14237,14
46200,14
46441,14
85523,14
44167,14
24580,14
39895,14
69943,14
12014,14
21420,14
4218,14
64839,14
3971,14
7155,14
18806,14
87503,14
63062,14
50122,14
9713,14
30939,14
77071,14
32022,14
42706,14
87112,14
80263,14
98047,14
58463,14
27735,14
72970,14
33893,14
68102,14
66851,14
23285,14
2972,14
13026,14
73142,14
80697,14
86541,14
14794,14
49087,14
89665,14
50723,14
11761,14
93340,14
52370,14
70826,14
89993,14
15327,14
53459,14
60144,14
27813,14
40551,14
83225,14
13517,14
43185,14
86061,14
73237,14
47199,14
72649,14
74901,14
55882,14
52987,14
85891,14
2089,14
85486,14
66163,14
32961,14
87179,14
39284,14
30743,14
97972,14
94178,14
39871,14
22988,14
68487,15
13985,15
16108,15
2498,15
41320,15
30144,15
57721,15
6612,15
67882,15
44572,15
60783,15
76174,15
97294,15
18094,15
2172,15
22227,15
95573,15
95626,15
43409,15
73373,15
92326,15
28598,15
92655,15
50666,15
86058,15
57273,15
73757,15
9498,15
3550,15
59841,15
15734,15
88099,15
63753,15
30779,15
31946,15
87085,15
82003,15
86163,15
95808,15
70165,15
36449,15
96130,15
77164,15
98224,15
22177,15
75024,15
94113,15
18102,15
27839,15
43092,15
94860,15
96946,15
55754,15
56467,15
76181,16
61455,16
63778,16
36319,16
57010,16
20353,16
41057,16
996,16
6690,16
4312,16
98675,16
17673,16
69781,16
28529,16
86298,16
36219,16
90384,16
52404,16
96301,16
84724,16
41145,16
45937,16
95841,16
22345,16
31008,16
3799,16
49322,16
37719,16
73876,16
22583,16
49038,16
6611,16
27156,16
41129,16
57316,16
34708,16
11489,16
2977,16
39524,16
35729,16
8375,16
62563,16
33770,16
26786,16
62388,16
49065,16
13549,16
20731,16
64943,16
28458,16
61047,16
13824,16
85309,16
72560,16
30362,16
13120,16
23683,16
18414,16
6504,16
28209,16
55091,16
26457,16
82167,16
99741,16
39888,17
79586,17
49099,17
17658,17
37017,17
59275,17
76880,17
91154,17
11048,17
15675,17
98648,17
1982,17
59482,17
23838,17
3204,17
1936,17
84800,17
70496,17
32948,17
55636,17
